"","id","crime"
"280","Tarde-2014-12-31-N Hollywood","BURGLARY FROM VEHICLE"
"281","Tarde-2014-12-31-N Hollywood","OTHER MISCELLANEOUS CRIME"
"282","Madrugada-2014-12-31-Foothill","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"283","Noite-2014-12-30-Foothill","VEHICLE - STOLEN"
"284","Noite-2014-12-30-Foothill","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"285","Manha-2014-11-24-Foothill","DOCUMENT FORGERY / STOLEN FELONY"
"286","Tarde-2014-12-30-Foothill","BURGLARY"
"287","Manha-2014-11-01-Foothill","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"288","Manha-2014-12-31-Devonshire","BURGLARY"
"289","Manha-2014-12-31-Devonshire","ROBBERY"
"290","Noite-2014-12-30-Devonshire","VIOLATION OF COURT ORDER"
"291","Tarde-2014-12-17-Devonshire","THEFT OF IDENTITY"
"292","Tarde-2014-12-30-Devonshire","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)"
"293","Tarde-2014-11-30-Devonshire","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"294","Manha-2014-12-31-Devonshire","CRIMINAL THREATS - NO WEAPON DISPLAYED"
"295","Noite-2014-12-27-Devonshire","SEX, UNLAWFUL"
"296","Madrugada-2014-12-22-Devonshire","BATTERY - SIMPLE ASSAULT"
"297","Tarde-2014-12-31-Devonshire","ATTEMPTED ROBBERY"
"298","Tarde-2014-12-31-Devonshire","BATTERY - SIMPLE ASSAULT"
"299","Madrugada-2014-12-31-Devonshire","BATTERY - SIMPLE ASSAULT"
"300","Tarde-2014-12-31-Devonshire","SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"301","Noite-2014-12-31-Devonshire","VIOLATION OF RESTRAINING ORDER"
"302","Noite-2014-12-30-Southeast","BATTERY - SIMPLE ASSAULT"
"303","Madrugada-2014-12-31-Southeast","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"304","Noite-2014-12-30-Southeast","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"305","Madrugada-2014-12-31-Southeast","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"306","Noite-2014-12-31-Southeast","BATTERY POLICE"
"307","Noite-2014-12-31-Southeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"308","Noite-2014-12-31-Southeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"309","Noite-2014-12-30-Southeast","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"310","Tarde-2014-12-05-Southeast","VEHICLE - STOLEN"
"311","Manha-2014-12-18-Southeast","THREATENING PHONE CALLS/LETTERS"
"312","Manha-2014-12-29-Southeast","VEHICLE - STOLEN"
"313","Tarde-2014-11-10-Mission","DOCUMENT FORGERY / STOLEN FELONY"
"314","Noite-2014-12-30-Mission","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"315","Noite-2014-12-30-Mission","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"316","Madrugada-2014-12-25-Mission","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"317","Tarde-2014-12-30-Mission","VIOLATION OF COURT ORDER"
"318","Madrugada-2014-12-31-Mission","BURGLARY"
"319","Noite-2014-12-29-Mission","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)"
"320","Noite-2014-12-30-Mission","VIOLATION OF COURT ORDER"
"321","Noite-2014-12-30-Mission","SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"322","Noite-2014-12-30-Mission","SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"323","Madrugada-2014-12-21-Mission","CRIMINAL THREATS - NO WEAPON DISPLAYED"
"324","Manha-2014-12-31-Mission","THEFT PLAIN - PETTY ($950 & UNDER)"
"325","Tarde-2014-12-30-Mission","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"326","Noite-2014-12-30-Mission","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
